

,,xiya:LeftElbow1,,,xiya:LeftElbow2,,,xiya:LeftElbow3,,,xiya:LeftHand1,,,xiya:LeftHand2,,,xiya:LeftHand3,,,xiya:RightElbow1,,,xiya:RightElbow2,,,xiya:RightElbow3,,,xiya:RightHand1,,,xiya:RightHand2,,,xiya:RightHand3,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
17,0,-187.033,-14.234,1076.55,-122.12,-10.1966,1048.95,-223.658,-15.6941,976.575,-245.252,-29.9013,882.466,-263.706,-22.3233,837.364,-239.039,18.9461,865.85,296.525,67.2485,1076.53,244.176,24.9327,1059.12,304.714,114.479,965.572,316.417,119.645,876.776,310.482,146.784,834.003,269.896,154.647,878.757
18,0,-187.708,-11.9838,1076.01,-123.667,-7.76534,1048.1,-224.532,-12.5791,976.143,-246.933,-25.6835,882.182,-265.779,-17.5047,837.478,-240.029,23.1588,865.979,296.45,67.4547,1076.3,244.344,25.6294,1059.07,304.058,115.548,965.933,316.29,120.14,876.679,310.333,147.356,834.005,269.974,155.049,878.758
19,0,-188.391,-9.69737,1075.48,-124.289,-5.81601,1047.3,-225.236,-9.0233,975.56,-247.954,-21.7119,882.052,-266.999,-12.5888,837.389,-240.803,27.317,865.9,296.403,67.676,1076.09,244.246,25.809,1058.83,304.4,115.145,965.294,316.046,120.679,876.565,310.184,147.883,834.11,269.839,155.48,878.785
20,0,-189.113,-7.25611,1074.77,-125.082,-3.9078,1046.73,-226.013,-5.55489,975.097,-249.61,-17.2183,881.379,-267.87,-7.52966,836.881,-241.39,32.0999,865.967,296.267,67.8884,1075.87,244.12,25.8643,1058.63,303.741,116.289,965.823,315.743,121.208,876.449,310.006,148.338,834.177,269.614,155.976,878.89
21,0,-189.98,-4.94703,1074.29,-124.882,-2.31406,1046.32,-226.85,-2.28788,974.447,-251.145,-12.7126,881.487,-268.957,-2.58747,836.916,-241.941,36.316,865.794,296.129,67.8712,1075.7,243.975,25.9118,1058.46,303.627,116.54,965.761,315.489,121.473,876.377,309.804,148.719,834.185,269.435,156.282,878.954
22,0,-190.34,-2.56528,1073.46,-126.227,-0.144225,1045.72,-227.286,1.11126,973.809,-250.412,-8.17192,879.721,-269.932,2.94257,836.619,-242.008,41.2915,865.614,295.973,67.8183,1075.55,243.827,25.9128,1058.37,303.436,116.396,965.736,315.284,121.548,876.367,309.53,149.114,834.201,269.196,156.63,879.062
23,0,-190.936,-0.49119,1073.01,-126.928,1.82599,1045.12,-227.846,4.3952,973.346,-252.041,-3.56944,879.949,-270.453,8.25494,836.02,-242.111,45.5745,865.809,295.674,67.7952,1075.39,243.656,25.8016,1058.29,303.229,116.378,965.653,315.077,121.629,876.419,309.236,149.409,834.192,268.836,157.091,879.201
24,0,-191.274,1.91553,1072.47,-127.449,3.83182,1044.91,-228.125,7.68135,972.784,-252.319,0.809562,879.339,-270.743,13.134,836.055,-241.612,50.3623,865.585,295.584,67.5704,1075.24,243.448,25.5707,1058.23,303.483,115.642,965.102,314.792,121.537,876.369,308.989,149.49,834.142,268.632,157.227,879.261
25,0,-191.776,4.19106,1072.07,-127.833,5.1577,1044.55,-228.269,11.1473,972.261,-252.402,5.69751,878.898,-270.676,18.4575,835.528,-241.32,54.6549,865.478,295.37,67.2575,1075.03,243.281,25.363,1058.13,303.254,115.57,965.046,314.549,121.515,876.307,308.746,149.585,834.118,268.369,157.406,879.327
26,0,-192.166,6.41956,1071.67,-128.202,7.12926,1043.94,-228.352,14.3315,971.711,-252.17,9.82888,877.821,-270.461,23.6001,834.756,-241.016,59.2872,865.46,295.092,66.8938,1074.83,243.033,25.0386,1058,304.511,113.626,963.718,314.204,121.292,876.192,308.448,149.614,834.063,268.101,157.546,879.382
27,0,-192.356,8.56809,1071.01,-128.198,8.93493,1043.59,-228.32,17.7485,971.234,-252.054,14.1866,877.22,-269.896,28.1831,834.527,-240.189,63.5334,865.295,294.836,66.4382,1074.57,242.839,24.8177,1057.76,303.014,114.908,964.674,313.852,121.118,875.994,308.17,149.461,833.922,267.81,157.495,879.371
28,0,-192.738,10.7181,1070.64,-128.684,10.7258,1043.35,-228.149,21.0169,970.687,-251.992,18.4909,876.944,-269.244,33.4752,833.637,-239.262,67.8125,864.888,294.581,65.9526,1074.38,242.524,24.4125,1057.55,302.499,114.565,964.444,313.532,120.847,875.777,307.862,149.262,833.842,267.647,157.325,879.296
29,0,-192.913,13.0844,1070.06,-128.923,12.2684,1043.1,-228.119,24.2466,970.166,-251.282,22.6683,875.916,-268.303,38.1285,832.989,-238.132,72.1048,864.894,294.262,65.615,1074.16,242.292,24.1084,1057.32,302.151,114.189,964.279,313.138,120.533,875.471,307.419,149.004,833.618,267.418,157.148,879.192
30,0,-192.941,15.0464,1069.48,-128.863,14.5002,1042.62,-227.823,27.3809,969.532,-250.618,26.6488,875.197,-267.821,42.4713,832.701,-237.023,75.9535,864.558,294.009,65.1508,1073.96,241.976,23.6488,1057.02,301.852,113.669,964.024,312.733,120.156,875.164,306.972,148.636,833.33,267.157,156.836,879.012
31,0,-193.045,17.2706,1069.07,-128.74,16.2599,1042.35,-227.474,30.4395,969.115,-249.738,30.6867,874.512,-266.557,46.953,831.781,-236.174,79.7483,864.506,293.802,64.5187,1073.78,241.555,23.0643,1056.82,301.827,112.792,963.576,312.267,119.473,874.727,306.558,148.114,833.057,266.992,156.249,878.743
32,0,-192.932,19.4602,1068.62,-128.769,17.8044,1042.1,-226.797,33.3847,968.531,-249.081,34.4866,873.963,-265.122,50.978,831.323,-234.826,83.789,864.175,293.506,63.8184,1073.47,241.194,22.4732,1056.61,301.349,112.19,963.811,311.908,118.817,874.35,306.177,147.472,832.699,266.83,155.59,878.459
33,0,-192.792,21.3131,1068.18,-128.568,19.9512,1042.03,-226.394,36.0806,968.24,-248.578,38.0675,873.692,-264.223,55.127,830.727,-233.691,87.4417,864.051,293.202,62.9718,1073.08,240.781,21.8818,1056.39,301.15,111.702,963.735,311.626,118.152,874.177,305.871,146.752,832.449,266.574,154.967,878.208
34,0,-192.59,23.6034,1067.78,-128.295,21.3878,1041.55,-225.816,38.9537,967.75,-247.585,41.5372,873.186,-263.146,59.0338,830.155,-232.636,90.5069,863.99,293.13,62.0966,1072.75,240.369,21.4191,1056.12,301.109,111.602,963.675,311.238,117.388,873.858,305.71,145.949,832.245,266.398,154.166,877.868
35,0,-192.26,25.3049,1067.32,-128.132,23.0674,1041.51,-225.371,41.6024,967.372,-246.215,44.9741,872.43,-261.42,62.7462,829.617,-231.065,94.0333,863.685,293.096,61.0916,1072.45,239.839,20.7515,1055.71,300.235,111.138,963.146,310.982,116.476,873.542,305.648,144.835,831.951,266.31,153.182,877.46
36,0,-192.112,27.4271,1067.05,-127.796,24.4342,1041.05,-224.404,44.2513,966.787,-245.182,48.4143,871.848,-260.045,66.4124,828.987,-229.538,97.4328,863.656,292.782,60.2537,1072.15,239.371,20.2564,1055.42,300.493,109.181,962.052,310.689,115.653,873.247,305.465,143.998,831.515,266.154,152.458,877.112
37,0,-191.622,29.0995,1066.49,-127.124,26.2034,1040.76,-223.601,47.0088,966.297,-244.512,51.6827,871.73,-258.699,69.7766,828.785,-228.407,100.814,863.378,292.461,59.6164,1071.81,238.887,19.6501,1055.14,300.3,108.211,961.816,310.472,114.652,872.822,305.351,143.176,831.12,265.962,151.768,876.75
38,0,-191.433,30.9948,1066.29,-127.013,27.645,1040.74,-222.879,49.3282,965.984,-242.98,54.824,871.098,-256.824,73.257,828.153,-226.685,103.847,863.375,292.07,58.7592,1071.44,238.383,18.9774,1054.84,300.357,107.091,961.383,310.291,113.464,872.391,305.114,141.998,830.59,265.726,151.009,876.476
39,0,-190.801,32.6336,1065.71,-126.801,28.8222,1040.65,-221.781,51.8527,965.426,-241.56,57.8165,870.507,-255.617,76.5956,827.812,-225.103,106.784,863.19,291.578,57.7996,1071.05,237.852,18.3465,1054.62,300.067,106.246,961.102,310.044,112.442,871.883,304.955,140.95,830.288,265.598,150.181,876.28
40,0,-190.647,34.3054,1065.61,-126.073,30.6501,1040.47,-221.188,54.1285,965.163,-240.78,60.7351,870.5,-254.035,79.7074,827.495,-223.473,109.597,862.955,291.055,56.8496,1070.69,237.162,17.6441,1054.33,299.674,105.465,960.739,309.777,111.307,871.629,304.74,139.746,829.966,265.572,149.292,875.955
