

,,xiya:LeftElbow1,,,xiya:LeftElbow2,,,xiya:LeftElbow3,,,xiya:LeftHand1,,,xiya:LeftHand2,,,xiya:LeftHand3,,,xiya:RightElbow1,,,xiya:RightElbow2,,,xiya:RightElbow3,,,xiya:RightHand1,,,xiya:RightHand2,,,xiya:RightHand3,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
955,0,-182.745,135.257,1047.48,-126.622,98.2464,1029.73,-178.48,174.176,950.462,-169.628,196.135,857.164,-168.621,224.17,817.903,-132.764,232.86,860.509,270.665,120.689,1054.96,222.307,76.0798,1039.39,275.12,173.566,947.177,274.823,179.882,857.182,275.862,209.799,817.07,244.632,227.723,868.579
956,0,-182.649,135.212,1047.52,-126.476,98.1571,1029.8,-178.502,174.038,950.454,-169.888,195.855,857.188,-168.943,223.894,817.884,-133.065,232.496,860.415,270.66,120.634,1054.88,222.263,76.1124,1039.33,274.553,173.918,947.427,274.878,179.826,857.123,275.897,209.843,817.085,244.832,227.689,868.521
957,0,-182.563,135.154,1047.55,-126.281,98.1415,1029.83,-178.536,173.882,950.446,-170.244,195.559,857.268,-169.226,223.585,817.88,-133.494,232.277,860.344,270.672,120.601,1054.82,222.202,76.0938,1039.26,275.216,173.535,947.086,275.026,179.894,857.133,276.113,209.837,817.077,245.056,227.74,868.464
958,0,-182.476,135.113,1047.62,-126.197,98.0201,1029.87,-178.562,173.72,950.471,-170.489,195.276,857.286,-169.57,223.327,817.893,-134.039,232.069,860.314,270.644,120.595,1054.72,222.17,76.0969,1039.2,275.275,173.55,947.097,275.116,179.861,857.03,276.352,209.758,817.028,245.313,227.822,868.45
959,0,-182.423,135.054,1047.64,-125.99,97.9817,1029.88,-178.648,173.533,950.477,-170.675,195.035,857.249,-169.898,223.101,817.855,-134.624,231.906,860.245,270.616,120.523,1054.68,222.127,76.0943,1039.14,274.811,173.886,947.447,275.385,180.013,857.016,276.6,209.766,817.084,245.662,227.909,868.46
960,0,-182.312,134.894,1047.68,-125.824,97.9349,1029.92,-178.95,173.374,950.549,-170.929,194.824,857.235,-170.36,222.897,817.824,-135.116,231.789,860.253,270.623,120.428,1054.67,222.03,76.0729,1039.11,275.018,173.904,947.462,275.625,180.004,856.944,276.938,209.74,817.14,246.145,227.942,868.433
961,0,-182.232,134.722,1047.68,-125.672,97.9428,1029.92,-179.242,173.098,950.571,-171.322,194.601,857.197,-170.956,222.705,817.791,-135.496,231.731,860.275,270.626,120.314,1054.62,221.953,76.0608,1039.06,275.265,173.875,947.535,276.052,179.905,856.876,277.355,209.692,817.137,246.716,228.001,868.514
962,0,-182.216,134.497,1047.77,-125.6,97.8626,1029.99,-179.664,172.792,950.66,-171.954,194.474,857.256,-171.804,222.549,817.798,-136.059,231.916,860.427,270.614,120.063,1054.62,221.909,76.0598,1039.05,275.634,173.826,947.71,277.05,179.592,857.035,277.92,209.84,817.15,247.397,228.041,868.703
963,0,-182.282,134.158,1047.85,-125.675,97.6959,1030.14,-180.182,172.445,950.783,-172.844,194.418,857.415,-172.677,222.446,817.891,-136.758,232.024,860.445,270.565,119.835,1054.73,221.778,76.0042,1039.02,276.319,173.683,947.598,277.716,179.1,857.07,278.733,209.794,817.198,248.192,227.958,868.836
964,0,-182.54,133.759,1048.09,-125.745,97.6154,1030.15,-180.831,172.136,950.92,-174.141,194.306,857.752,-173.773,222.537,818.137,-138.364,232.12,860.765,270.534,119.669,1054.83,221.62,76.6234,1038.09,277.752,171.872,947.227,278.601,179.067,857.062,280.133,209.714,817.376,249.446,228.115,868.995
965,0,-182.803,133.363,1048.4,-126.06,97.4134,1030.24,-181.481,171.882,951.012,-175.063,194.12,858.065,-175.075,222.657,818.476,-139.796,232.219,860.999,270.416,119.639,1054.97,221.204,76.6693,1038.18,279.096,171.658,948.426,279.828,178.49,857.131,282.118,209.22,817.208,251.998,228.238,869.221
966,0,-183.428,132.953,1048.73,-126.487,97.3103,1030.3,-182.739,171.561,951.381,-176.39,194.292,858.082,-176.872,222.682,818.8,-141.209,232.627,861.471,270.249,119.699,1055.09,220.431,77.4449,1038.38,280.135,171.63,948.759,282.514,177.646,857.474,284.253,208.49,816.907,254.795,227.677,869.118
967,0,-184.299,132.353,1049.19,-127.17,97.1783,1030.39,-184.067,171.146,951.831,-178.704,194.237,858.57,-178.745,223.051,819.163,-143.793,232.812,861.851,270.143,119.794,1055.2,220.054,77.9195,1038.47,281.334,171.764,949.036,285.42,177.334,857.741,287.646,207.703,816.878,258.072,227.419,869.211
968,0,-185.578,131.767,1049.82,-127.875,97.3339,1030.31,-186.476,171.078,952.498,-180.201,194.437,858.631,-181.525,223.147,819.817,-145.672,233.419,862.456,270.279,119.998,1055.34,219.811,78.5075,1038.65,283.136,171.499,949.703,288.798,175.974,858.043,290.942,206.328,816.453,262.02,227.234,869.476
969,0,-186.675,131.501,1050.13,-128.939,97.5161,1030.35,-188.004,170.64,952.9,-183.488,194.695,859.435,-184.464,223.764,820.289,-148.766,233.784,862.921,270.5,120.166,1055.53,219.573,79.3811,1038.88,285.904,170.924,950.173,291.211,175.48,858.218,295.599,205.565,816.599,267.015,226.792,869.411
970,0,-187.616,131.016,1050.45,-130.125,97.79,1030.27,-190.462,170.588,953.642,-187.077,195.218,860.126,-187.996,224.441,821.279,-152.643,234.206,863.459,271.132,120.323,1055.82,219.952,80.4076,1038.71,289.302,170.647,950.621,295.471,174.738,858.734,300.85,204.218,817.345,272.327,226.508,869.653
971,0,-189.834,130.722,1051.29,-131.728,97.9603,1030.47,-193.379,170.695,954.428,-190.903,195.545,860.952,-192.304,225.13,822.264,-156.724,235.152,864.505,272.7,120.572,1056.48,220.985,81.6842,1038.63,292.805,170.369,951.554,300.6,173.765,859.49,306.579,202.901,818.205,277.973,226.171,869.599
972,0,-191.771,130.514,1052.24,-133.942,98.6968,1030.54,-196.865,171.028,955.271,-195.59,196.333,862.056,-197.723,225.868,823.68,-161.042,235.634,865.093,274.631,120.959,1057.15,222.31,82.7235,1038.61,297.363,169.275,952.08,305.681,173.069,860.514,313.696,202.527,819.348,284.009,225.65,870.205
973,0,-194.553,130.427,1053.49,-136.524,99.3169,1030.81,-200.925,171.532,956.505,-200.588,197.159,863.087,-203.676,226.9,825.185,-166.112,237.001,866.378,276.869,120.904,1058.03,224.088,83.9696,1038.7,302.548,168.024,953.148,312.036,172.089,862.056,320.881,201.353,821.29,290.98,225.644,871.076
974,0,-197.584,130.515,1054.89,-139.337,99.9296,1031.04,-205.493,171.967,958.262,-206.702,198.263,864.957,-210.065,228.288,827.263,-172.24,238.131,867.832,279.617,120.695,1058.88,226.297,84.9093,1039.13,307.065,168.223,955.742,318.836,171.82,863.595,328.894,200.385,823.048,298.461,224.954,872.798
975,0,-200.285,130.436,1055.99,-142.751,100.706,1031.49,-210.674,172.522,960.26,-213.8,199.514,867.363,-217.688,230.079,829.488,-179.015,239.345,869.45,282.709,120.908,1060.5,229.071,86.3825,1039.4,311.769,169.464,958.399,326.606,171.228,866.063,338.337,199.889,825.887,306.63,225.189,874.567
976,0,-203.383,130.244,1058,-146.528,101.571,1032.08,-216.301,173.245,962.22,-221.976,201.384,869.983,-226.091,231.879,832.343,-187.009,241.158,871.769,286.225,120.706,1062.45,232.284,87.6296,1040.08,318.847,168.58,960.345,335.089,170.557,868.877,348.273,198.903,829.241,316.046,224.973,877.494
977,0,-207.865,130.394,1060.05,-151.244,101.626,1033.43,-222.911,173.912,965.22,-230.398,203.085,872.793,-235.604,233.208,835.756,-195.567,242.801,874.262,290.337,120.662,1064.25,235.896,88.6896,1041,326.91,165.718,962.268,344.222,170.062,872.248,358.906,198.465,832.945,326.182,224.676,880.397
978,0,-212.225,130.156,1062.43,-155.1,103.242,1034.04,-229.71,174.478,968.207,-239.617,204.478,876.654,-246.236,234.852,839.435,-205.323,244.745,877.631,294.694,120.284,1067.05,240.125,89.9165,1041.92,334.355,165.569,966.239,353.486,169.465,876.166,369.437,197.588,837.128,336.512,224.264,883.861
979,0,-216.654,129.918,1064.95,-159.687,104.592,1035.1,-237.185,174.939,971.892,-249.289,206.18,879.993,-257.603,236.203,844.005,-216.267,246.405,880.987,299.652,120.175,1069.5,244.751,91.2654,1043.38,342.309,165.365,970.212,362.788,169.038,880.342,381.36,196.742,842.198,347.606,224.136,888.211
980,0,-221.408,129.523,1067.92,-164.244,106.234,1036.36,-244.82,175.641,975.496,-260.643,207.023,884.963,-269.839,237.441,848.616,-228.519,248.561,885.545,304.71,120.161,1072.72,249.999,92.5675,1044.98,350.145,165.853,974.995,374.012,168.085,885.705,393.584,195.926,847.865,358.835,223.619,893.121
981,0,-226.205,129.407,1070.67,-169.31,108.074,1037.69,-252.958,175.575,979.791,-271.856,207.54,889.95,-282.939,238.393,854.116,-241.096,250.635,890.435,310.489,119.375,1076.23,255.686,93.7785,1046.83,358.443,166.097,980.349,384.871,168.057,890.805,406.303,196.014,854.246,370.616,223.441,898.294
982,0,-231.451,129.052,1074.3,-174.504,110.227,1039.38,-261.631,175.625,984.581,-283.519,208.127,895.578,-296.726,239.207,860.447,-254.371,252.08,896.033,316.228,119.18,1080.02,261.779,94.7028,1048.94,367.345,165.942,985.682,397.118,167.578,897.569,419.639,195.475,861.692,382.791,223.266,904.592
983,0,-236.783,128.784,1078,-180.1,112.379,1041.25,-270.755,175.59,989.818,-295.496,208.508,901.742,-310.986,240.023,868.046,-267.759,253.586,902.048,322.68,118.537,1083.91,268.098,95.895,1051.32,376.386,165.897,991.588,409.23,167.937,904.443,433.105,195.603,869.265,394.769,223.797,910.978
984,0,-242.239,128.408,1081.9,-186.395,115.27,1043.45,-279.849,175.539,995.334,-308.034,209.144,908.334,-325.406,240.686,876.015,-281.297,254.703,908.571,328.371,118.211,1088.44,274.851,97.1637,1053.95,386.588,165.092,998.206,421.657,167.893,912.097,446.856,195.049,878.127,407.584,223.613,918.418
985,0,-247.581,128.353,1085.92,-192.237,116.91,1046.09,-289.051,175.565,1001.28,-321.319,209.595,916.143,-339.932,241.116,884.848,-295.153,255.809,915.863,335.194,117.591,1093.29,281.944,97.9924,1056.88,398.14,162.275,1003.75,434.409,167.124,920.493,460.976,194.739,887.437,420.853,223.438,926.294
986,0,-253.764,127.91,1090.85,-198.572,119.072,1048.88,-298.857,175.227,1008.18,-335.074,209.898,925.029,-354.867,241.493,894.329,-308.924,256.544,923.888,341.181,117.278,1098.62,288.918,99.4726,1060.21,407.104,162.281,1012.16,447.498,166.595,929.591,475.592,194.15,897.801,434.038,222.733,935.257
987,0,-259.51,127.615,1095.68,-205.265,121.365,1052.32,-308.131,175.027,1015.46,-347.924,210.265,933.846,-369.198,241.558,904.437,-322.807,257.264,932.153,347.532,116.627,1104.1,295.941,100.936,1063.92,416.478,162.907,1020.88,460.039,166.231,938.977,489.721,192.805,909.381,447.577,222.305,945.267
988,0,-265.476,127.113,1101.01,-212.359,123.529,1055.8,-317.728,174.661,1023.27,-361.042,210.208,943.718,-384.228,241.102,915.649,-337.196,257.78,941.672,353.886,116.009,1110.25,303.046,101.99,1068.13,428.013,159.467,1029.41,472.706,164.706,949.519,504.323,191.656,921.187,461.375,221.27,956.193
989,0,-271.422,126.552,1106.88,-219.322,125.657,1059.89,-327.419,174.042,1031.59,-374.177,209.906,954.194,-398.822,240.41,927.107,-351.018,257.516,952.242,359.918,115.819,1116.42,310.424,103.258,1072.85,437.043,159.105,1038.96,485.685,163.856,961.172,518.612,190.281,933.98,474.984,220.416,967.456
990,0,-276.223,126.098,1112.6,-226.722,127.831,1064.07,-336.703,173.228,1040.32,-387.149,209.368,965.234,-413.293,239.831,939.2,-365.347,257.386,962.525,366.435,115.358,1123.33,318.227,104.265,1078,446.661,158.23,1048.89,497.838,162.417,973.112,532.395,188.539,947.518,488.166,219.094,979.723
991,0,-282.281,125.753,1119.02,-234.203,129.215,1069.33,-346.436,172.351,1049.81,-400.34,208.658,977.036,-428.173,238.693,952.921,-378.936,256.886,974.447,372.703,114.605,1130.55,325.363,105.441,1083.28,456.126,157.24,1058.93,510.374,161.117,985.619,546.294,186.843,962.01,501.34,217.566,992.485
992,0,-288.184,125.184,1125.85,-242.081,131.036,1074.53,-355.93,171.284,1059.78,-413.254,207.588,989.581,-442.112,237.571,966.73,-392.83,256.259,986.403,378.599,113.807,1137.99,333.197,106.238,1089.08,464.994,155.607,1070.51,522.292,159.615,998.69,559.846,184.689,977.006,513.856,216.086,1005.77
993,0,-294.102,124.607,1132.91,-249.479,132.315,1080.47,-364.872,170.216,1070.14,-425.685,206.286,1002.68,-456.118,236.144,981.641,-406.029,255.3,999.013,384.633,113.153,1146.04,340.705,107.134,1095.41,474.249,154.204,1081.95,534.106,157.725,1013.18,572.934,182.541,992.817,526.129,214.309,1020.1
994,0,-299.916,124.316,1140.66,-256.842,133.961,1086.51,-373.652,169.092,1080.82,-437.999,204.926,1016.94,-469.22,234.665,996.824,-418.599,254.123,1011.94,390.475,112.016,1154.46,347.977,107.955,1102.31,482.096,154.503,1095.67,545.32,156.039,1027.72,585.033,180.676,1008.94,538.095,212.762,1034.88
995,0,-305.609,123.68,1148.71,-264.424,135.29,1093.32,-382.468,167.809,1092.57,-449.84,203.568,1031.59,-482.095,232.757,1013.07,-430.939,252.613,1025.4,395.913,111.159,1163.18,355.439,108.076,1109.38,491.116,151.439,1107.93,556.469,154.18,1043.12,596.838,178.495,1025.74,549.286,211.27,1049.72
996,0,-311.059,122.967,1157.1,-272.815,136.319,1100.92,-390.661,166.7,1104.54,-461.209,201.698,1046.78,-494.572,230.795,1029.9,-442.907,250.957,1039.63,400.614,110.224,1171.99,362.542,108.247,1117.31,498.805,150.672,1121.28,567.155,152.296,1059.37,608.071,176.568,1043.29,559.99,209.13,1065.73
997,0,-316.344,122.267,1165.79,-280.127,137.15,1108.86,-398.852,165.05,1117.08,-471.677,199.843,1062.49,-506.52,228.545,1047.25,-454.52,249.084,1054.53,405.707,109.211,1181.43,369.53,108.247,1125.29,505.548,148.921,1135.3,576.936,149.81,1075.8,618.324,173.647,1060.91,569.663,207.109,1081.87
998,0,-321.577,121.233,1174.79,-287.058,138.127,1116.65,-406.136,163.415,1129.79,-482.044,198.099,1078.92,-517.615,226.243,1065.03,-465.837,247.394,1069.79,410.472,107.789,1191.26,376.405,108.396,1133.67,511.978,147.05,1149.32,586.102,147.626,1093.31,628.732,171.288,1079.5,579.384,204.749,1099
999,0,-326.322,120.153,1183.73,-294.36,138.346,1124.67,-413.327,161.499,1142.91,-491.476,195.668,1095.85,-528.126,223.234,1083.48,-476.735,244.888,1086.11,414.784,106.231,1201.02,382.886,107.759,1142.15,519.608,144.32,1162.7,594.696,144.797,1110.4,637.755,168.268,1098.21,588.535,202.128,1116.52
1000,0,-330.573,118.918,1192.89,-301.246,138.526,1133.4,-419.928,159.405,1156.42,-500.658,193.008,1113.02,-538.135,219.857,1102.47,-486.688,242.081,1102.76,418.669,105.18,1210.76,389.09,107.138,1150.88,524.914,142.092,1177.11,602.534,141.852,1127.42,646.757,165.036,1117.44,597.032,199.084,1133.95
1001,0,-334.602,117.49,1202.27,-307.317,139.138,1142.36,-425.798,156.501,1169.51,-508.652,189.798,1130.25,-546.941,216.322,1121.32,-495.996,239.079,1119.43,422.444,103.374,1220.96,394.875,106.816,1159.98,530.102,139.038,1191.8,609.433,139.074,1144.94,654.334,161.85,1136.63,604.459,196.116,1151.94
1002,0,-338.236,116.117,1211.95,-313.825,139.357,1151.39,-431.09,153.68,1183,-516.232,186.167,1147.71,-555.052,212.249,1140.8,-504.473,235.642,1136.74,425.512,101.844,1231.13,400.453,106.331,1169.43,534.632,136.579,1206.49,616.062,135.08,1163.02,661.141,157.833,1156.69,611.364,193.073,1170.17
1003,0,-341.52,114.839,1221.75,-319.22,139.354,1160.58,-436.115,150.849,1197.13,-523.071,182.325,1165.18,-562.224,208.11,1160.3,-512.414,232.173,1154.24,428.469,100.132,1241.42,405.406,105.112,1179.06,538.413,133.847,1221.04,621.246,132.041,1180.39,667.378,154.006,1176.19,617.179,189.476,1188.21
1004,0,-344.26,113.421,1231.48,-324.165,139.821,1170.42,-440.086,148.144,1210.8,-528.568,178.189,1182.97,-568.874,204.09,1180.18,-519.459,228.635,1171.55,430.607,98.0387,1251.95,410.026,104.085,1188.71,542.052,130.898,1235.95,626.39,128.244,1198.59,672.398,150.347,1196.13,622.025,186.237,1206.2
1005,0,-346.934,111.892,1241.57,-329.197,140.169,1180.15,-443.864,145.285,1224.89,-533.924,174.354,1201.18,-574.779,199.632,1199.96,-526.086,224.862,1189.06,432.193,96.0966,1262.09,414.083,103.009,1198.45,544.854,127.768,1250.73,630.392,124.826,1216.73,676.998,146.674,1215.62,626.085,182.732,1224.08
1006,0,-348.969,110.36,1251.49,-333.812,139.274,1190.24,-446.93,142.142,1238.96,-537.958,170.611,1219.1,-579.554,195,1219.96,-532.244,220.984,1206.81,433.87,94.0007,1272.55,417.81,101.833,1208.13,546.397,125.31,1265.85,633.807,121.275,1234.35,681.303,142.414,1235.38,630.126,179.086,1242.16
1007,0,-350.911,108.858,1261.47,-337.926,138.952,1200.12,-449.456,139.179,1252.6,-541.636,166.642,1237.01,-583.568,189.972,1239.31,-537.034,216.718,1224.48,435.728,91.5845,1283.02,421.439,100.481,1217.67,548.329,122.139,1280.46,636.92,117.247,1252.33,684.139,138.497,1254.96,633.384,175.481,1260.08
1008,0,-352.463,106.943,1271.42,-341.761,138.091,1210.5,-451.485,135.978,1266.29,-544.7,162.12,1254.52,-586.727,184.704,1258.46,-541.218,212.433,1242.06,436.056,89.3097,1292.97,424.339,100.178,1227.26,549.667,118.851,1294.7,638.967,113.505,1270.41,686.524,134.45,1274.18,635.815,172.004,1277.92
1009,0,-353.737,105.102,1281.47,-345.089,137.592,1220.2,-452.765,132.692,1279.76,-547.01,157.377,1271.57,-589.388,179.137,1277.25,-544.871,207.983,1260.01,436.598,87.0515,1302.94,427.307,99.15,1236.91,551.044,115.294,1308.5,640.682,109.774,1287.52,687.758,130.294,1293.22,637.626,168.147,1295.33
1010,0,-354.428,103.339,1291.36,-348.026,136.686,1230.36,-453.828,129.459,1293.37,-547.971,152.571,1287.9,-591.255,173.704,1295.98,-547.522,203.407,1277.44,436.715,85.2776,1312.46,429.382,98.2397,1245.95,551.006,111.888,1322.29,640.974,105.832,1304.48,688.308,125.909,1311.66,638.302,164.437,1312.58
1011,0,-355.113,101.269,1301.45,-350.659,135.822,1240.53,-454.208,125.858,1306.43,-549.14,147.615,1304.18,-592.112,168.458,1314.16,-549.827,198.637,1294.49,436.192,84.504,1320.74,431.355,97.0014,1255.04,550.517,108.466,1335.72,640.819,101.675,1321.02,688.297,121.411,1329.97,638.324,160.607,1329.59
1012,0,-355.372,99.2531,1311.19,-352.889,134.59,1250.48,-454.051,122.793,1319.32,-549.433,142.561,1320.49,-592.246,163.217,1332.1,-550.924,194.223,1310.9,435.359,82.7646,1330.03,432.939,96.02,1264.48,549.433,104.806,1349.14,640.247,96.9755,1337.04,687.655,116.587,1348.19,638.137,156.318,1346.55
1013,0,-355.071,97.3721,1320.45,-354.208,133.627,1259.66,-453.431,119.35,1332.15,-548.846,138.513,1336.54,-591.923,158.454,1349.51,-551.89,189.665,1326.87,434.326,81.0663,1338.91,434.123,94.4177,1273.96,547.839,102.008,1361.98,639.213,92.8808,1353.1,686.522,111.696,1365.33,637.514,152.115,1362.98
1014,0,-352.992,96.7987,1328.03,-355.781,131.922,1269.27,-452.639,116.062,1344.74,-547.622,134.36,1352.34,-591.161,153.717,1366.77,-552.204,185.442,1342.73,433.139,79.1571,1348.1,434.61,93.5407,1282.73,545.816,98.6039,1374.72,636.979,89.8247,1367.76,684.957,106.866,1382.19,636.115,147.838,1379.24
1015,0,-352.019,94.9482,1336.69,-356.87,130.216,1278.4,-451.236,112.887,1356.72,-546.304,130.227,1367.96,-589.997,149.028,1383.13,-551.747,181.232,1357.98,431.696,77.5821,1356.78,434.708,92.2241,1291.55,544.026,95.7342,1386.9,635.212,85.4676,1383,683,102.435,1398.59,634.386,143.791,1395.05
1016,0,-350.803,93.1085,1344.94,-357.76,128.622,1287.13,-449.793,109.893,1368.28,-544.263,126.204,1382.63,-587.957,144.471,1399,-551.079,176.972,1372.86,430.102,76.2143,1365.31,435.101,91.768,1300.05,541.449,92.8712,1398.77,632.835,82.1685,1397.62,680.85,97.8202,1414.65,632.489,140.367,1409.82
1017,0,-349.573,91.4259,1352.91,-358.136,127.033,1295.37,-447.49,107.065,1378.99,-541.944,122.328,1396.54,-585.585,139.351,1414.2,-549.771,172.62,1387.14,428.435,74.8637,1373.25,435.016,90.3707,1308.52,539.001,89.8721,1410.15,630.029,78.2618,1411.67,677.882,93.5814,1430.15,629.848,136.062,1424.36
1018,0,-350.268,88.1678,1361.69,-358.359,125.327,1303.19,-445.37,103.855,1389.48,-539.583,118.421,1409.41,-582.763,134.622,1429,-547.999,168.371,1401.35,426.933,73.5745,1380.67,435.194,89.7328,1316.46,536.375,87.1758,1420.74,626.892,74.6915,1425.01,674.533,89.2018,1445.11,627.373,132.671,1438.03
1019,0,-346.424,88.1805,1367.41,-358.523,123.501,1310.63,-443.357,100.918,1399.26,-536.866,113.54,1422.03,-579.653,129.287,1442.87,-546.159,164.366,1414.81,424.966,72.4171,1388.15,434.809,89.0628,1323.51,533.14,84.5782,1431.1,623.57,71.1292,1437.33,670.932,84.8475,1459.19,624.324,128.632,1451.14
1020,0,-344.648,86.4869,1373.88,-358.344,121.838,1317.59,-440.774,98.118,1408.86,-533.948,109.769,1433.77,-576.275,124.5,1455.81,-543.372,160.149,1427.78,423.221,71.3043,1394.93,434.681,88.1387,1331.16,530.083,82.0259,1440.8,620.423,67.615,1448.99,667.061,80.1998,1472.59,621.551,124.828,1463.78
1021,0,-345.703,81.9494,1382.4,-358.127,120.197,1324.42,-438.437,95.3203,1417.47,-530.63,105.431,1444.48,-572.427,119.721,1468.18,-541.372,156.792,1439.88,421.314,70.3291,1401.59,434.235,87.6393,1337.66,527.355,79.8972,1449.85,616.868,64.4687,1460.31,663.043,76.3135,1485.52,617.95,121.286,1475.81
1022,0,-342.966,81.2772,1387.99,-357.882,118.663,1330.75,-435.537,93.0424,1425.69,-527.75,102.17,1454.77,-569.082,115.343,1480,-538.17,152.818,1451.44,419.537,69.5352,1407.4,433.606,86.9596,1344.58,524.095,77.3699,1458.6,613.261,61.5035,1470.73,659.008,72.5193,1497.73,614.638,118.187,1486.55
1023,0,-340.578,80.194,1392.66,-357.36,117.254,1336.73,-433.345,90.0418,1433.09,-524.854,97.9934,1464.37,-565.609,111.51,1490.73,-535.391,149.44,1462.21,417.566,68.5817,1413.3,433.299,86.1406,1350.44,520.638,76.0138,1466.75,609.501,58.5433,1480.76,655.316,69.1037,1508.78,611.494,114.971,1497.25
1024,0,-340.221,77.3849,1398.34,-356.874,115.925,1342.03,-430.521,87.1911,1440.2,-521.828,94.407,1472.98,-561.701,107.463,1500.43,-532.636,145.935,1472.27,415.661,67.7717,1418.82,432.492,85.1741,1355.79,517.955,74.1794,1474.53,606.218,55.978,1490.33,651.053,66.0895,1519.41,608.023,112.487,1506.66
1025,0,-337.728,76.5746,1402.33,-356.556,114.673,1347.32,-428.115,84.7778,1446.43,-518.527,91.269,1480.89,-557.917,103.883,1509.92,-529.389,142.954,1481.47,413.757,66.895,1423.71,432.143,84.6273,1361.32,514.312,72.5761,1481.66,602.786,53.5036,1499.03,647.516,63.1694,1528.4,604.634,110.017,1515.62
1026,0,-336.649,74.8749,1406.96,-355.778,113.537,1352.16,-425.546,82.5047,1452.42,-515.736,87.7781,1488.15,-554.318,100.457,1518.22,-526.515,140.034,1489.36,412.073,66.2556,1428.3,431.203,83.5577,1366.45,512.2,70.5916,1488.21,599.357,51.3653,1507.34,643.465,60.1197,1537.47,601.834,108.075,1523.92
1027,0,-335.344,73.0119,1410.47,-355,112.423,1356.26,-423.675,80.5821,1457.59,-512.977,86.0435,1494.85,-550.799,97.2784,1525.75,-523.905,137.204,1496.82,410.422,65.5069,1432.54,431.036,82.9303,1370.91,509.727,68.7205,1493.79,596.127,49.2829,1514.82,640.14,57.8467,1545.99,598.448,105.954,1531.47
1028,0,-333.536,72.1493,1413.67,-354.224,111.479,1359.96,-422.014,78.3149,1461.92,-510.289,83.7495,1500.88,-547.621,94.4024,1532.54,-520.983,135.077,1503.56,408.908,64.7972,1436.46,430.058,82.1963,1375.35,506.804,67.7941,1499.04,593.036,47.3953,1521.62,637.158,55.7199,1553.35,595.459,103.812,1538.63
1029,0,-332.163,70.9353,1416.58,-353.516,110.602,1363.28,-419.962,76.7348,1465.63,-507.728,82.0492,1506.08,-544.795,92.2005,1538.06,-518.799,133.104,1509.47,407.519,64.1879,1439.8,429.59,81.8136,1378.97,504.463,66.6732,1503.89,590.206,45.7843,1527.75,633.387,53.3918,1559.9,593.01,102.217,1545.19
1030,0,-330.531,70.2309,1418.96,-352.594,109.801,1366.14,-418.113,75.5833,1469.4,-505.632,80.0763,1510.59,-542.149,90.109,1542.96,-516.369,131.29,1514.41,406.192,63.5256,1442.85,429.31,81.0718,1382.62,502.493,65.5348,1508.2,587.71,44.2329,1533.12,630.527,51.772,1566.38,590.223,100.557,1550.82
1031,0,-329.586,68.7739,1421.28,-352.017,108.797,1368.93,-416.893,73.9251,1471.87,-503.738,78.0404,1514.25,-539.971,88.4735,1547.41,-514.361,129.909,1518.71,405.026,63.1657,1445.84,428.658,80.6141,1385.75,500.232,64.4832,1512.13,585.262,42.9642,1537.97,628.054,50.4676,1571.51,587.964,99.2122,1555.97
1032,0,-328.309,68.1065,1422.89,-351.223,108.23,1370.97,-414.982,73.0791,1474.37,-501.77,76.7089,1517.47,-537.99,86.9289,1550.81,-512.49,128.376,1522.48,403.855,62.5,1448.16,428.111,80.3455,1388.43,498.741,63.5758,1515.63,582.92,41.7981,1542.12,625.23,48.9704,1576.27,585.349,97.852,1560.59
1033,0,-327.603,66.8754,1424.5,-350.709,107.384,1372.7,-413.983,71.8284,1476.67,-500.327,75.6528,1520.03,-536.58,85.5036,1553.66,-511.111,127.286,1525.61,402.768,62.0649,1450.42,427.756,80.1556,1390.69,496.655,62.8649,1518.66,581.097,40.6979,1545.9,623.497,47.6762,1580.37,583.758,96.9213,1564.57
1034,0,-327.054,66.0266,1425.85,-349.94,106.884,1373.99,-413.105,71.0855,1477.77,-500.267,73.1958,1522.08,-535.228,84.7631,1555.77,-509.339,126.458,1527.94,402.165,61.7797,1451.84,427.082,80.0368,1392.92,495.657,61.7379,1521.17,579.545,39.9637,1548.99,621.606,46.7823,1583.84,581.893,95.9107,1567.9
1035,0,-326.393,65.3006,1426.45,-349.426,106.352,1374.91,-412.932,69.9946,1479.14,-499.468,72.7451,1522.96,-534.24,84.0673,1557.62,-508.533,125.961,1529.64,401.498,61.2197,1453.52,426.597,80.0599,1394.59,494.779,61.1219,1523.37,578.501,39.1777,1551.5,620.064,45.7739,1586.86,580.3,95.0626,1571.09
1036,0,-325.766,64.7682,1426.76,-348.993,105.803,1375.52,-412.061,69.6638,1479.96,-498.286,73.2778,1523.65,-533.719,83.8814,1558.79,-507.965,125.541,1530.74,400.803,61.1167,1454.82,426.41,79.8067,1396.01,493.523,60.6858,1525.09,577.256,38.7252,1553.89,619.208,45.3462,1589.29,579.379,94.4197,1573.55
